Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Natural Fiber,71.16,9.11,0.0,3.143,74.6,1.25,100.0,103.8,No,4,Containers
Wood-based,105.58,6.52,7.4,5.642,84.4,0.55,70.1,37.0,No,6,Cereal Boxes
Plant-based Polymer,24.53,5.4,23.9,5.2,50.2,4.55,28.3,77.9,No,4,Crates
Synthetic Polymer,35.15,2.7,13.9,9.346,52.1,3.72,59.2,106.2,No,9,Crates
Wood-based,55.8,5.02,1.6,10.413,27.7,4.1,34.4,-9.8,No,6,Edible Wraps
Biodegradable Polymer,118.97,0.1,45.2,1.737,55.4,2.41,95.9,-20.0,No,5,Beverage Bottles
Biodegradable Polymer,110.93,9.12,12.5,0.0,85.6,2.82,79.5,71.1,No,1,Edible Wraps
Natural Polymer,95.84,10.66,62.3,2.603,87.8,2.38,66.6,141.0,Yes,9,Cushion Packaging
Metal,63.59,3.3,19.5,10.821,27.4,2.46,89.3,72.3,No,8,Bowls
Natural Polymer,60.93,5.65,33.4,6.962,43.9,3.04,79.2,123.5,No,1,Edible Wraps
Bio-Composite,51.26,2.63,57.0,10.515,70.5,2.12,46.6,6.3,Yes,5,Produce Wraps
Bio-Composite,66.55,6.14,100.0,0.0,64.7,2.04,100.0,62.6,Yes,5,Beverage Bottles
Biodegradable Polymer,75.51,1.5,81.4,2.768,75.8,2.49,57.5,-11.9,Yes,10,Produce Wraps
Bio-Composite,50.3,14.73,57.6,9.007,42.4,3.16,38.7,81.6,Yes,10,Bowls
Wood-based,79.63,6.73,25.3,3.425,56.1,1.49,85.6,74.9,No,4,Bakery Packaging
Inorganic,87.18,7.24,86.5,6.716,53.0,3.11,95.8,97.8,Yes,5,Containers
Paper-based,47.3,7.48,65.0,5.359,26.9,2.08,51.6,74.2,Yes,2,Cutlery
Inorganic,60.51,6.81,53.2,3.123,0.0,0.17,66.7,47.1,Yes,5,Food Trays
Synthetic Polymer,48.83,4.45,0.0,2.813,53.9,4.03,65.5,52.4,No,8,Bakery Packaging
Biodegradable Polymer,1.0,4.63,56.5,4.378,63.1,2.77,55.2,117.4,Yes,7,Cereal Boxes
Wood-based,121.67,7.82,62.5,7.449,26.7,4.56,44.0,0.8,Yes,7,Containers
Inorganic,137.62,6.73,61.4,6.189,91.2,2.45,62.7,30.9,Yes,1,Beverage Bottles
Bio-Composite,49.87,5.06,11.5,6.593,66.1,1.51,50.5,72.6,No,4,Cereal Boxes
Wood-based,44.57,7.3,14.5,2.225,66.6,3.28,71.8,15.2,No,8,Crates
Plant-based Polymer,114.35,3.26,73.2,5.1,80.4,1.69,70.4,68.5,Yes,9,Bakery Packaging
Paper-based,112.7,4.72,36.1,6.461,59.8,1.96,67.5,16.4,No,8,Bowls
Metal,139.44,5.77,82.8,6.345,69.3,4.31,66.0,100.3,Yes,5,Bowls
Inorganic,108.8,7.36,56.3,2.856,25.4,1.65,77.2,84.1,Yes,7,Dissolvable Pouches
Metal,63.13,8.65,52.9,7.193,34.0,4.58,37.2,44.6,Yes,4,Cushion Packaging
Synthetic Polymer,60.33,10.5,100.0,1.704,52.9,3.21,79.2,58.8,Yes,10,Crates
Metal,13.31,2.52,55.0,5.59,100.0,3.47,68.2,60.6,Yes,4,Bowls
Natural Fiber,205.92,4.69,68.8,7.767,51.8,1.27,84.6,21.5,Yes,7,Bakery Packaging
Paper-based,40.14,5.94,77.3,3.494,100.0,3.31,20.4,27.9,Yes,10,Dissolvable Pouches
Metal,33.89,6.13,59.5,3.187,57.8,3.16,60.9,74.9,Yes,10,Cutlery
Metal,52.66,12.84,4.0,5.474,19.1,4.11,48.2,95.5,No,3,Wraps
Natural Polymer,86.48,4.32,43.0,5.589,86.8,2.87,70.0,98.7,No,1,Cushion Packaging
Inorganic,83.14,3.37,53.4,0.0,51.6,1.8,90.9,-20.0,Yes,4,Cereal Boxes
Natural Polymer,112.28,8.39,27.7,4.268,39.1,3.48,68.0,91.9,No,6,Edible Wraps
Synthetic Polymer,67.08,2.3,22.7,5.264,65.3,3.76,65.3,27.1,No,4,Crates
Metal,152.79,6.96,0.0,5.174,56.5,2.53,66.7,53.8,No,1,Cushion Packaging
Natural Polymer,57.6,4.82,53.8,2.902,21.3,2.6,65.7,-5.5,Yes,8,Wraps
Biodegradable Polymer,63.17,10.74,32.5,7.261,67.8,4.72,40.6,111.4,No,3,Wraps
Natural Polymer,47.71,7.98,100.0,6.801,90.5,1.15,79.4,21.5,Yes,1,Beverage Bottles
Natural Polymer,90.64,6.81,44.5,6.74,6.6,5.03,57.6,85.7,No,5,Edible Wraps
Bio-Composite,59.54,13.56,61.3,3.915,84.2,3.56,67.5,58.6,Yes,5,Wraps
Inorganic,1.0,6.64,56.8,5.259,62.5,0.34,100.0,-12.1,Yes,10,Containers
Biopolymer,87.39,5.66,100.0,0.0,46.6,2.51,34.3,44.3,Yes,10,Crates
Metal,88.99,7.35,31.2,7.271,63.7,1.33,88.8,-20.0,No,5,Takeaway Boxes
Paper-based,117.33,11.43,26.2,3.789,36.2,2.89,88.6,10.2,No,1,Produce Wraps
Biopolymer,126.34,2.99,25.9,3.647,52.8,1.99,38.7,86.8,No,1,Cereal Boxes
Inorganic,104.96,10.47,37.1,2.383,53.1,1.46,15.7,64.8,No,5,Bowls
Paper-based,88.2,1.71,80.0,1.65,60.7,2.8,36.7,56.7,Yes,8,Crates
Synthetic Polymer,81.38,7.84,62.1,7.493,65.9,4.48,60.7,28.7,Yes,6,Cereal Boxes
Plant-based Polymer,91.34,11.72,76.9,5.247,1.8,2.51,54.3,15.7,Yes,10,Plates
Biopolymer,50.86,4.15,44.1,6.025,54.2,2.96,57.4,-3.0,No,1,Plates
Biodegradable Polymer,92.84,2.21,2.5,4.088,92.7,0.01,52.7,46.7,No,3,Cutlery
Metal,115.44,8.35,77.8,6.686,60.9,4.28,80.4,40.4,Yes,10,Edible Wraps
Inorganic,97.94,7.99,52.8,1.92,53.8,0.98,79.5,113.7,Yes,7,Produce Wraps
Wood-based,44.39,6.96,60.1,4.619,54.8,5.51,35.8,81.1,Yes,4,Dissolvable Pouches
Natural Fiber,38.8,6.74,69.5,7.259,98.3,2.81,69.1,42.6,Yes,7,Food Trays
Synthetic Polymer,50.02,3.53,89.5,2.73,98.4,1.63,83.7,36.9,Yes,6,Cereal Boxes
Metal,132.92,7.26,25.7,3.813,55.7,1.53,73.0,58.4,No,6,Bowls
Synthetic Polymer,68.03,9.26,70.5,7.83,85.4,1.23,57.7,81.5,Yes,3,Dissolvable Pouches
Inorganic,168.27,4.55,47.1,3.453,66.0,3.22,47.0,16.0,No,1,Takeaway Boxes
Paper-based,22.89,1.68,32.9,1.83,75.4,2.35,16.5,51.2,No,6,Crates
Wood-based,52.2,3.68,23.2,10.17,96.9,3.07,74.6,39.7,No,3,Edible Wraps
Paper-based,81.02,7.25,61.6,2.028,70.7,0.53,81.8,75.2,Yes,4,Wraps
Natural Polymer,30.61,1.19,2.9,3.948,83.4,4.91,100.0,16.0,No,7,Produce Wraps
Biopolymer,86.72,4.21,60.0,4.644,97.0,1.67,29.6,-6.3,Yes,2,Cushion Packaging
Bio-Composite,138.88,8.82,73.4,7.856,70.7,1.1,59.5,45.6,Yes,5,Wraps
Plant-based Polymer,54.11,0.1,92.1,2.835,39.1,5.33,88.3,12.3,Yes,8,Cushion Packaging
Synthetic Polymer,69.42,1.83,33.6,4.867,70.7,0.78,30.7,51.2,No,4,Food Trays
Natural Polymer,52.26,4.34,34.9,7.898,46.2,1.79,36.1,27.8,No,6,Containers
Metal,73.63,3.65,4.7,9.782,62.6,0.62,72.7,34.9,No,8,Wraps
Bio-Composite,119.48,9.25,22.3,3.242,68.5,4.17,49.7,70.8,No,10,Crates
Plant-based Polymer,52.77,9.64,16.5,1.983,55.3,0.01,83.3,49.4,No,4,Food Trays
Synthetic Polymer,37.54,6.81,36.3,2.763,82.9,3.55,26.5,62.7,No,6,Produce Wraps
Paper-based,7.55,9.17,65.0,0.0,54.5,1.59,100.0,109.3,Yes,2,Wraps
Inorganic,113.79,15.69,59.3,11.726,73.2,2.84,58.8,48.1,Yes,3,Crates
Paper-based,85.13,6.48,5.0,3.295,96.2,1.51,52.6,95.2,No,8,Beverage Bottles
Biopolymer,111.82,6.09,0.0,1.08,100.0,2.82,25.6,58.7,No,5,Dissolvable Pouches
Bio-Composite,25.9,8.13,0.2,3.266,34.0,3.32,47.9,56.7,No,4,Bowls
Natural Polymer,58.67,5.29,69.7,3.549,62.2,0.96,49.9,21.9,Yes,4,Beverage Bottles
Inorganic,62.86,3.13,93.4,6.682,54.7,0.01,31.6,39.3,Yes,5,Bowls
Synthetic Polymer,61.02,4.22,65.2,3.978,11.8,0.29,8.1,-9.1,Yes,3,Edible Wraps
Inorganic,75.96,9.51,29.5,8.023,54.5,3.04,46.2,18.9,No,10,Cereal Boxes
Natural Polymer,103.75,7.51,90.1,2.314,51.1,1.9,58.6,54.9,Yes,7,Edible Wraps
Paper-based,1.38,8.9,61.2,2.039,56.5,1.35,35.0,83.3,Yes,6,Produce Wraps
Biodegradable Polymer,1.0,5.17,5.8,7.012,51.5,5.38,40.5,86.1,No,5,Cereal Boxes
Synthetic Polymer,81.38,4.38,14.7,7.771,49.2,3.95,67.3,37.2,No,7,Containers
Bio-Composite,104.02,8.09,26.2,2.424,36.1,1.84,59.7,33.5,No,7,Takeaway Boxes
Synthetic Polymer,60.79,8.29,28.6,7.224,79.4,0.97,11.4,-20.0,No,7,Plates
Wood-based,193.11,2.62,49.9,4.277,36.8,4.09,27.6,18.2,No,1,Cushion Packaging
Inorganic,72.35,0.6,100.0,2.174,65.8,0.28,65.1,102.0,Yes,5,Bakery Packaging
Synthetic Polymer,119.45,4.89,46.3,5.173,100.0,3.47,68.5,32.9,No,4,Takeaway Boxes
Biopolymer,69.31,8.33,56.8,0.0,61.4,1.29,97.1,8.6,Yes,2,Crates
Inorganic,34.67,8.41,61.6,6.988,79.7,3.2,55.8,30.9,Yes,8,Takeaway Boxes
Biodegradable Polymer,38.64,4.02,76.0,8.172,7.0,0.33,100.0,2.9,Yes,7,Bakery Packaging
Biodegradable Polymer,81.07,5.07,62.0,5.862,50.4,3.89,56.4,69.8,Yes,10,Food Trays
Plant-based Polymer,37.99,6.73,9.6,3.643,54.7,2.1,83.5,11.6,No,2,Bowls
Plant-based Polymer,69.19,12.02,40.8,7.628,45.7,3.13,43.6,31.2,No,4,Crates
Plant-based Polymer,71.79,7.88,51.1,2.416,39.2,3.08,95.3,24.4,Yes,1,Plates
Metal,125.61,12.11,14.2,7.78,73.9,4.86,66.8,62.2,No,9,Crates
Plant-based Polymer,120.0,12.02,29.8,3.169,57.4,2.65,89.4,-20.0,No,9,Crates
Biodegradable Polymer,99.18,1.85,84.9,9.391,49.1,2.55,63.4,64.2,Yes,6,Bakery Packaging
Biopolymer,23.53,7.59,42.4,10.064,66.0,4.15,40.5,104.8,No,9,Edible Wraps
Wood-based,132.34,5.81,40.3,1.898,14.7,3.8,71.6,58.9,No,5,Cutlery
Biopolymer,59.19,6.55,67.6,3.438,100.0,4.54,30.5,64.5,Yes,9,Food Trays
Natural Fiber,64.53,9.42,50.9,4.237,50.2,3.61,88.3,46.5,Yes,3,Takeaway Boxes
Biodegradable Polymer,1.0,7.65,52.5,7.539,62.3,3.13,48.1,48.4,Yes,5,Crates
Paper-based,63.26,5.84,97.2,5.035,72.1,0.01,60.1,12.9,Yes,1,Plates
Paper-based,4.09,9.79,22.8,2.609,69.8,0.71,36.9,-20.0,No,9,Produce Wraps
Metal,37.87,7.42,0.0,6.398,59.9,4.04,14.9,40.5,No,7,Bakery Packaging
Natural Polymer,67.82,3.2,38.7,3.88,56.6,5.4,55.5,7.1,No,3,Dissolvable Pouches
Wood-based,65.41,6.62,32.6,7.051,82.6,4.32,80.2,24.0,No,5,Cereal Boxes
Plant-based Polymer,69.59,10.08,28.2,2.825,73.5,2.22,86.7,-4.0,No,9,Cutlery
Plant-based Polymer,79.67,8.41,80.0,0.0,50.3,2.54,48.6,44.4,Yes,5,Cereal Boxes
Inorganic,77.2,10.57,55.2,7.444,69.4,1.43,58.1,73.6,Yes,3,Beverage Bottles
Natural Fiber,152.37,5.18,69.4,9.158,0.0,3.43,45.6,98.2,Yes,8,Cushion Packaging
Natural Polymer,51.29,4.06,0.0,4.636,42.4,1.46,37.6,71.5,No,5,Cereal Boxes
Wood-based,148.81,7.44,50.4,1.892,65.6,2.39,79.0,-20.0,Yes,2,Beverage Bottles
Inorganic,74.65,4.7,99.7,6.934,67.8,3.38,64.0,114.2,Yes,5,Bowls
Biopolymer,1.0,4.73,27.2,7.33,28.9,2.72,16.4,82.4,No,7,Containers
Wood-based,69.8,2.45,75.7,6.144,34.7,3.62,81.2,106.1,Yes,3,Cutlery
Natural Polymer,50.07,8.16,37.0,6.153,69.4,2.93,100.0,52.3,No,2,Produce Wraps
Metal,26.13,6.84,90.5,6.054,73.2,1.89,64.8,107.8,Yes,6,Crates
Metal,101.7,7.13,0.0,6.686,33.4,3.12,65.7,29.1,No,4,Wraps
Inorganic,68.76,6.23,33.8,1.023,48.9,0.77,100.0,90.7,No,10,Cushion Packaging
Paper-based,116.25,4.38,0.0,3.95,48.5,2.66,64.3,72.2,No,8,Bakery Packaging
Metal,43.92,8.61,100.0,4.682,42.4,3.21,55.2,87.5,Yes,6,Cushion Packaging
Biodegradable Polymer,83.86,14.61,18.0,9.269,87.7,2.09,20.6,50.4,No,6,Cushion Packaging
Inorganic,89.03,9.08,20.0,5.056,79.5,3.56,75.2,14.5,No,8,Containers
Metal,146.81,9.88,37.1,6.717,24.7,2.77,86.9,65.5,No,1,Cutlery
Paper-based,32.16,4.37,47.8,6.581,98.3,3.61,49.3,60.1,No,7,Cushion Packaging
Natural Fiber,15.71,9.45,37.4,3.615,68.5,0.01,46.5,56.0,No,6,Crates
Natural Fiber,66.71,5.36,57.6,0.308,100.0,3.28,39.3,69.2,Yes,4,Takeaway Boxes
Natural Fiber,74.5,3.12,84.6,8.35,81.2,2.82,86.9,81.4,Yes,3,Bowls
Natural Fiber,112.75,6.09,0.0,5.005,53.5,2.44,17.6,0.7,No,4,Takeaway Boxes
Bio-Composite,89.69,7.56,63.7,6.712,93.1,1.7,68.3,61.2,Yes,6,Cutlery
Biodegradable Polymer,55.86,5.44,77.8,8.003,52.4,5.19,48.3,18.0,Yes,3,Plates
Natural Fiber,72.82,5.98,88.1,2.933,59.1,0.66,89.7,75.8,Yes,10,Wraps
Biopolymer,30.96,1.38,56.7,4.01,78.1,1.94,38.6,31.1,Yes,7,Beverage Bottles
Inorganic,75.15,6.2,31.3,8.726,51.6,0.92,34.5,9.1,No,5,Plates
Natural Polymer,70.03,8.37,80.7,5.727,99.6,2.34,58.2,29.3,Yes,6,Dissolvable Pouches
Paper-based,120.18,3.7,15.0,1.168,82.3,1.6,63.3,74.3,No,5,Bowls
Paper-based,118.51,9.85,0.0,2.439,85.8,3.58,57.9,42.4,No,6,Cutlery
Synthetic Polymer,86.9,7.59,63.8,5.154,39.8,1.91,51.8,7.8,Yes,1,Containers
Metal,94.45,0.1,49.8,5.483,87.4,3.29,50.8,103.6,No,7,Food Trays
Metal,88.81,5.67,59.6,8.387,100.0,0.01,100.0,32.4,Yes,4,Cushion Packaging
Biodegradable Polymer,73.19,4.57,69.4,5.063,72.2,2.69,57.3,71.7,Yes,6,Cushion Packaging
Plant-based Polymer,42.9,9.67,76.4,5.166,53.7,4.25,80.2,43.9,Yes,1,Beverage Bottles
Metal,47.96,1.42,66.0,0.229,69.6,1.35,64.9,35.0,Yes,3,Bakery Packaging
Inorganic,52.18,10.18,46.0,2.629,90.2,2.3,42.0,25.0,No,8,Food Trays
Plant-based Polymer,174.75,7.87,11.0,7.189,59.3,2.86,70.3,36.4,No,8,Plates
Synthetic Polymer,99.54,8.63,49.1,3.355,53.1,3.58,40.5,23.7,No,4,Wraps
Bio-Composite,46.25,7.17,34.9,5.91,42.9,1.77,49.3,129.8,No,5,Crates
Inorganic,105.53,10.85,49.1,6.263,57.2,2.68,68.6,62.6,No,7,Beverage Bottles
Metal,60.96,6.81,29.7,7.885,49.8,5.86,41.2,73.6,No,9,Cereal Boxes
Bio-Composite,45.27,5.88,49.2,4.506,42.0,2.95,94.2,102.5,No,1,Wraps
Wood-based,57.41,6.26,84.4,7.593,73.3,3.25,87.3,-3.4,Yes,4,Plates
Inorganic,16.06,5.71,50.8,9.667,28.0,3.15,67.3,-20.0,Yes,3,Cereal Boxes
Synthetic Polymer,6.88,6.18,0.0,2.99,56.5,3.77,41.4,44.1,No,1,Bakery Packaging
Bio-Composite,39.92,6.14,64.9,6.253,35.8,4.89,23.1,4.0,Yes,7,Takeaway Boxes
Inorganic,19.17,3.16,29.9,5.702,77.7,3.69,31.3,63.8,No,10,Cereal Boxes
Wood-based,19.25,9.41,56.1,6.756,56.4,2.89,52.3,127.1,Yes,7,Cushion Packaging
Synthetic Polymer,118.3,4.75,74.9,0.222,48.3,2.73,100.0,94.5,Yes,2,Edible Wraps
Synthetic Polymer,31.48,8.78,35.2,6.394,100.0,4.26,65.6,33.7,No,9,Cutlery
Natural Polymer,44.14,0.1,22.1,1.35,95.7,0.71,44.8,-1.8,No,3,Bakery Packaging
Paper-based,54.66,6.28,0.0,8.269,91.7,3.84,64.4,-20.0,No,4,Bowls
Inorganic,31.45,10.43,55.3,3.928,100.0,2.04,68.5,-6.1,Yes,10,Cutlery
Biopolymer,28.34,4.01,97.6,8.306,95.1,2.31,90.5,45.4,Yes,5,Food Trays
Bio-Composite,130.22,4.6,39.1,2.196,25.6,3.36,79.5,54.1,No,9,Food Trays
Biopolymer,98.95,5.81,6.6,1.193,25.0,3.12,25.4,71.1,No,2,Dissolvable Pouches
Biodegradable Polymer,139.06,3.19,61.1,2.353,74.4,2.44,30.4,167.5,Yes,10,Cereal Boxes
Bio-Composite,124.0,0.32,50.3,3.605,63.1,3.14,90.4,26.4,Yes,4,Takeaway Boxes
Bio-Composite,177.82,5.75,89.7,7.615,82.9,0.7,51.5,6.0,Yes,8,Takeaway Boxes
Biodegradable Polymer,42.19,9.62,71.5,4.418,6.7,1.21,77.6,109.7,Yes,4,Cereal Boxes
Natural Polymer,90.6,7.1,3.8,6.132,100.0,0.01,60.4,-20.0,No,6,Plates
Biodegradable Polymer,45.37,2.38,22.4,4.258,62.4,1.49,58.2,103.0,No,8,Edible Wraps
Metal,139.04,8.46,31.1,4.52,79.6,1.89,41.4,16.0,No,9,Plates
Biopolymer,108.42,7.31,66.3,6.751,66.1,0.71,47.4,20.5,Yes,3,Cutlery
Metal,58.69,12.55,46.3,2.678,56.1,4.21,37.9,30.2,No,4,Crates
Inorganic,56.34,2.26,67.0,10.368,48.3,1.29,57.3,122.9,Yes,4,Beverage Bottles
Biodegradable Polymer,121.45,0.24,0.0,2.771,66.8,0.85,13.9,51.0,No,7,Cushion Packaging
Metal,103.57,5.14,64.8,6.339,84.1,2.26,91.6,-14.8,Yes,4,Food Trays
Plant-based Polymer,85.57,7.96,73.6,2.0,70.0,0.01,37.3,-20.0,Yes,1,Wraps
Synthetic Polymer,112.5,7.19,57.0,5.323,59.1,4.26,61.5,158.1,Yes,5,Plates
Natural Polymer,57.94,5.32,29.8,8.182,8.7,4.27,69.0,72.1,No,6,Beverage Bottles
Bio-Composite,105.44,6.62,28.6,4.994,100.0,5.32,56.5,12.2,No,7,Dissolvable Pouches
Biodegradable Polymer,107.24,1.99,100.0,6.642,11.2,5.95,28.8,21.5,Yes,9,Takeaway Boxes
Bio-Composite,173.38,9.83,27.6,5.568,55.7,3.91,22.1,75.8,No,3,Beverage Bottles
Biodegradable Polymer,112.46,9.18,80.5,8.601,70.2,4.71,51.2,36.6,Yes,1,Cereal Boxes
Paper-based,58.42,8.69,82.7,10.776,47.0,2.48,96.1,115.8,Yes,7,Cereal Boxes
Paper-based,146.22,8.96,36.5,7.615,59.7,3.82,61.6,-20.0,No,3,Produce Wraps
Biodegradable Polymer,97.28,12.83,46.7,5.459,99.7,2.65,51.9,72.3,No,2,Edible Wraps
Biodegradable Polymer,28.09,6.93,53.6,4.236,89.5,3.97,58.3,-11.2,Yes,10,Edible Wraps
Bio-Composite,59.67,7.43,76.2,3.737,86.8,2.85,78.4,78.4,Yes,1,Dissolvable Pouches
Plant-based Polymer,136.83,0.1,79.3,0.31,32.8,3.44,55.2,32.6,Yes,9,Bakery Packaging
Bio-Composite,72.11,6.33,57.8,5.551,47.3,3.98,55.7,36.3,Yes,5,Wraps
Natural Fiber,86.4,8.13,0.0,6.405,33.0,0.17,66.3,89.5,No,5,Wraps
Inorganic,62.8,7.02,80.8,6.977,84.0,4.15,77.7,3.9,Yes,6,Wraps
Bio-Composite,157.25,8.25,30.4,3.142,45.3,4.02,50.7,121.8,No,4,Cutlery
Synthetic Polymer,105.02,7.85,28.0,1.998,54.1,3.34,49.4,-12.2,No,7,Wraps
Biodegradable Polymer,79.36,8.33,26.1,8.451,89.8,3.01,92.1,-3.5,No,1,Bowls
Natural Fiber,49.53,6.47,78.3,2.348,70.2,3.63,41.1,10.2,Yes,10,Beverage Bottles
Natural Fiber,113.3,8.75,73.0,9.5,51.8,5.91,17.4,43.3,Yes,7,Edible Wraps
Natural Polymer,103.97,4.26,74.0,3.38,27.0,1.57,45.8,35.8,Yes,9,Cutlery
Synthetic Polymer,108.9,5.05,63.0,3.823,38.1,1.61,58.6,25.3,Yes,10,Beverage Bottles
Plant-based Polymer,39.34,1.86,54.0,3.549,89.1,2.43,53.9,21.9,Yes,7,Food Trays
Wood-based,96.89,1.36,28.4,7.056,46.5,3.24,42.2,-20.0,No,6,Containers
Biopolymer,97.29,9.34,63.2,8.528,55.5,2.8,51.3,125.0,Yes,5,Cutlery
Paper-based,90.84,0.1,72.1,10.393,14.4,2.77,62.5,95.6,Yes,7,Edible Wraps
Inorganic,48.13,11.74,10.3,6.13,65.6,0.43,28.5,56.2,No,4,Cereal Boxes
Paper-based,92.12,4.11,59.0,5.148,53.5,3.61,85.4,102.5,Yes,5,Beverage Bottles
Synthetic Polymer,99.24,5.4,0.0,4.971,20.8,1.52,35.3,-6.0,No,10,Cereal Boxes
Biopolymer,110.78,3.25,82.3,2.16,58.2,3.13,37.2,-3.2,Yes,2,Cereal Boxes
Inorganic,58.96,4.68,100.0,2.96,60.8,3.39,67.0,54.6,Yes,4,Produce Wraps
Plant-based Polymer,46.8,7.79,94.0,9.859,15.9,3.86,36.3,7.4,Yes,3,Cereal Boxes
Bio-Composite,80.54,10.23,0.0,7.398,52.6,3.68,82.1,46.4,No,6,Plates
Paper-based,84.49,7.1,76.9,5.15,34.9,4.48,40.6,26.7,Yes,5,Cutlery
Bio-Composite,58.21,11.31,86.3,6.0,82.0,1.85,66.7,54.8,Yes,1,Takeaway Boxes
Inorganic,110.78,7.61,13.4,9.019,100.0,3.53,43.9,12.4,No,9,Edible Wraps
Bio-Composite,31.94,7.44,59.1,4.334,70.8,1.34,20.5,48.5,Yes,6,Takeaway Boxes
Inorganic,75.99,8.2,57.2,0.0,43.2,1.33,81.6,1.9,Yes,4,Dissolvable Pouches
Bio-Composite,85.3,7.72,83.2,8.055,49.9,1.72,63.6,-12.5,Yes,4,Dissolvable Pouches
Biopolymer,102.63,7.92,90.1,5.456,55.3,3.96,41.4,59.0,Yes,2,Cushion Packaging
Inorganic,80.98,11.77,63.0,5.048,47.7,4.99,71.6,75.3,Yes,6,Plates
Natural Fiber,44.86,3.66,82.6,1.583,100.0,0.01,71.1,33.7,Yes,8,Food Trays
Natural Fiber,187.21,2.31,68.0,1.93,43.5,0.01,72.8,56.0,Yes,6,Produce Wraps
Synthetic Polymer,117.31,6.66,37.6,5.597,69.1,3.2,96.0,50.5,No,10,Crates
Inorganic,122.27,12.15,54.7,5.975,24.1,1.85,59.2,70.6,Yes,6,Crates
Inorganic,128.54,6.58,74.3,9.647,61.5,3.4,21.9,46.9,Yes,5,Produce Wraps
Bio-Composite,51.02,4.31,0.0,0.0,43.8,3.5,65.2,30.6,No,6,Plates
Natural Polymer,108.17,1.32,35.7,9.146,100.0,3.7,68.4,39.4,No,6,Cushion Packaging
Natural Polymer,1.0,1.27,31.9,6.074,94.4,3.65,6.4,16.1,No,7,Bowls
Natural Fiber,104.92,6.69,6.0,6.007,88.4,2.93,100.0,26.6,No,5,Containers
Wood-based,59.39,9.87,37.5,11.571,58.5,4.04,37.2,73.9,No,4,Bakery Packaging
Natural Fiber,71.12,11.94,87.2,4.46,31.1,2.61,30.8,41.1,Yes,8,Cushion Packaging
Paper-based,35.42,6.53,15.6,2.836,34.9,2.18,87.4,6.6,No,3,Plates
Natural Polymer,87.06,11.38,61.5,2.99,43.8,2.39,63.4,80.5,Yes,7,Beverage Bottles
Plant-based Polymer,85.89,3.1,19.0,0.22,94.0,3.52,34.0,56.3,No,10,Crates
Metal,64.75,3.52,68.9,1.891,68.2,3.7,60.5,14.8,Yes,3,Takeaway Boxes
Biodegradable Polymer,19.92,4.72,0.0,7.673,63.2,2.72,65.6,53.0,No,5,Takeaway Boxes
Biopolymer,128.54,5.2,35.4,0.863,63.9,4.1,93.7,44.3,No,10,Produce Wraps
Plant-based Polymer,4.23,3.14,72.6,3.514,41.9,0.75,66.7,67.2,Yes,2,Cushion Packaging
Inorganic,33.8,10.98,45.8,3.603,80.7,4.17,60.8,40.7,No,10,Food Trays
Biodegradable Polymer,49.56,7.03,58.1,0.0,100.0,1.75,36.6,13.0,Yes,1,Crates
Natural Polymer,64.43,12.06,21.9,9.834,55.1,2.39,21.3,30.1,No,3,Cushion Packaging
Biodegradable Polymer,85.69,0.1,0.4,9.23,82.3,3.61,97.5,39.3,No,9,Cereal Boxes
Natural Fiber,96.69,3.14,8.4,3.255,18.1,1.07,42.8,15.6,No,2,Cereal Boxes
Natural Polymer,87.81,0.1,39.0,2.059,93.0,3.0,36.6,-20.0,No,8,Wraps
Inorganic,96.26,4.92,60.6,7.154,41.2,2.29,69.5,65.0,Yes,3,Plates
Wood-based,91.76,6.57,48.7,3.82,100.0,2.95,78.3,49.4,No,7,Plates
Metal,115.42,7.09,8.1,6.26,15.8,3.04,63.5,-17.3,No,7,Edible Wraps
Biopolymer,68.51,7.04,53.7,4.949,65.4,3.01,66.5,74.7,Yes,5,Wraps
Metal,138.11,1.63,85.9,2.343,100.0,1.91,98.2,18.3,Yes,7,Dissolvable Pouches
Biodegradable Polymer,75.36,8.83,56.9,6.009,50.6,3.51,56.1,-8.2,Yes,5,Food Trays
Biodegradable Polymer,65.43,4.14,37.7,5.111,74.8,2.25,85.1,41.6,No,6,Cushion Packaging
Natural Polymer,118.65,0.1,21.2,3.623,64.7,4.13,71.0,99.4,No,4,Cushion Packaging
Natural Fiber,96.39,11.23,81.9,7.58,41.7,6.21,31.6,44.6,Yes,7,Bowls
Inorganic,82.97,7.73,39.9,3.918,78.2,0.17,72.8,7.8,No,6,Bakery Packaging
Synthetic Polymer,95.28,6.82,17.6,2.493,45.9,2.73,43.9,87.1,No,1,Bakery Packaging
Biodegradable Polymer,105.64,4.54,27.9,3.513,50.3,2.82,100.0,95.4,No,7,Food Trays
Plant-based Polymer,38.81,0.75,48.9,7.977,39.4,2.52,50.5,61.2,No,7,Beverage Bottles
Metal,114.9,1.17,2.3,1.783,13.5,4.32,42.0,64.4,No,5,Cutlery
Biopolymer,33.21,9.45,55.9,5.945,87.9,2.09,73.0,24.1,Yes,9,Beverage Bottles
Wood-based,96.49,2.16,68.4,6.303,83.9,4.24,94.3,77.3,Yes,6,Produce Wraps
