Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Bioplastic (PLA),52.8,6.2,83.1,2.14,52.7,9,Highly Recommended
Virgin Plastic (PP),71.8,7.9,1.5,5.96,13.5,10,Avoid
Bioplastic (PLA),57.2,1.0,94.8,1.52,58.8,8,Highly Recommended
Recycled Cardboard,22.3,0.7,92.9,1.05,91.9,4,Highly Recommended
Bioplastic (PLA),51.0,5.3,90.1,2.17,48.3,8,Highly Recommended
Mushroom Mycelium,19.1,7.1,100.0,0.39,100.0,6,Highly Recommended
Edible Seaweed Film,11.9,0.7,100.0,0.53,9.8,4,Consider as Option
Bamboo Fiber,46.6,6.7,96.4,0.86,33.5,6,Highly Recommended
Bamboo Fiber,51.2,3.9,97.8,0.71,35.3,8,Highly Recommended
Bagasse (Sugarcane),30.8,4.1,99.4,1.05,61.7,5,Highly Recommended
Bagasse (Sugarcane),27.2,8.6,95.7,1.32,52.7,7,Highly Recommended
Edible Seaweed Film,5.1,1.2,100.0,0.49,2.0,3,Consider as Option
Recycled Cardboard,22.4,3.3,95.3,1.23,95.2,5,Highly Recommended
Edible Seaweed Film,14.1,7.0,100.0,0.43,8.3,2,Consider as Option
Bagasse (Sugarcane),37.6,1.2,95.1,1.27,68.9,7,Highly Recommended
Virgin Plastic (PP),77.1,1.7,4.1,5.67,26.2,10,Avoid
Recycled Cardboard,18.0,8.8,94.2,1.1,97.7,5,Highly Recommended
Bioplastic (PLA),52.7,3.6,90.6,1.65,42.7,8,Highly Recommended
Bagasse (Sugarcane),28.1,4.3,99.9,1.36,64.5,5,Highly Recommended
Mushroom Mycelium,17.1,3.2,100.0,0.12,100.0,5,Highly Recommended
Bamboo Fiber,45.1,1.8,97.5,0.64,35.8,8,Highly Recommended
Bioplastic (PLA),54.4,7.4,89.2,2.11,50.6,8,Highly Recommended
Mushroom Mycelium,23.2,1.7,100.0,0.33,100.0,4,Highly Recommended
Virgin Plastic (PP),82.6,6.4,1.8,3.81,14.7,10,Avoid
Edible Seaweed Film,11.3,9.1,100.0,0.57,0.6,3,Consider as Option
Mushroom Mycelium,12.3,1.7,100.0,0.21,100.0,4,Highly Recommended
Bagasse (Sugarcane),38.0,6.2,96.7,1.34,67.7,5,Highly Recommended
Bagasse (Sugarcane),30.6,1.6,98.3,1.19,62.7,5,Highly Recommended
Mushroom Mycelium,24.7,7.5,100.0,0.18,100.0,4,Highly Recommended
Mushroom Mycelium,13.1,5.5,100.0,0.39,100.0,5,Highly Recommended
Virgin Plastic (PP),71.8,3.0,0.9,4.7,23.8,10,Avoid
Bagasse (Sugarcane),30.3,4.7,95.7,1.32,60.7,5,Highly Recommended
Aluminum Foil,20.3,6.8,0.0,8.34,90.0,10,Avoid
Bamboo Fiber,55.7,8.5,97.8,0.82,46.4,6,Highly Recommended
Bagasse (Sugarcane),26.8,0.7,95.1,1.26,64.0,7,Highly Recommended
Bamboo Fiber,54.6,3.1,96.8,1.16,36.9,8,Highly Recommended
Virgin Plastic (PP),71.3,6.2,3.8,4.19,16.7,10,Avoid
Bamboo Fiber,52.9,5.6,98.8,1.06,37.5,6,Highly Recommended
Bamboo Fiber,51.9,6.5,96.0,0.89,32.4,6,Highly Recommended
Recycled Cardboard,24.8,6.5,94.1,0.93,88.4,3,Highly Recommended
Bagasse (Sugarcane),24.2,3.6,99.8,1.38,69.0,6,Highly Recommended
Bamboo Fiber,46.2,2.6,98.6,1.1,38.4,7,Highly Recommended
Bioplastic (PLA),66.3,6.0,85.8,1.53,58.4,8,Highly Recommended
Virgin Plastic (PP),77.3,8.7,4.3,3.91,11.1,10,Avoid
Bamboo Fiber,45.4,1.7,97.7,1.18,47.5,8,Highly Recommended
Mushroom Mycelium,24.5,3.2,100.0,0.26,100.0,4,Highly Recommended
Bioplastic (PLA),65.9,4.8,87.9,1.76,59.9,9,Highly Recommended
Recycled Cardboard,23.2,7.9,94.0,1.34,97.7,3,Highly Recommended
Aluminum Foil,37.6,3.8,0.0,10.84,90.1,10,Avoid
Bamboo Fiber,56.6,5.6,96.0,0.77,46.6,7,Highly Recommended
Bioplastic (PLA),59.2,1.3,83.8,1.67,53.2,9,Highly Recommended
Bioplastic (PLA),69.9,2.7,83.9,2.08,56.9,8,Highly Recommended
Edible Seaweed Film,12.2,7.2,100.0,0.41,1.7,3,Consider as Option
Mushroom Mycelium,23.0,8.8,100.0,0.17,100.0,4,Highly Recommended
Virgin Plastic (PP),73.8,2.3,4.2,3.57,29.4,10,Avoid
Virgin Plastic (PP),86.6,4.7,0.0,4.44,26.4,10,Avoid
Mushroom Mycelium,11.3,5.7,100.0,0.11,100.0,4,Highly Recommended
Edible Seaweed Film,14.8,3.1,100.0,0.37,7.0,2,Consider as Option
Bioplastic (PLA),59.2,8.3,80.3,2.38,53.6,9,Consider as Option
Bioplastic (PLA),74.3,5.4,89.7,1.96,58.7,8,Highly Recommended
Bamboo Fiber,55.7,9.6,99.1,0.89,46.5,7,Highly Recommended
Edible Seaweed Film,13.0,4.9,100.0,0.47,9.9,4,Consider as Option
Mushroom Mycelium,15.2,6.6,100.0,0.23,100.0,5,Highly Recommended
Virgin Plastic (PP),78.8,3.8,4.4,5.36,24.1,10,Avoid
Aluminum Foil,27.0,4.8,0.0,9.46,95.3,10,Avoid
Bamboo Fiber,43.7,7.2,95.1,1.13,47.5,7,Highly Recommended
Edible Seaweed Film,5.4,4.5,100.0,0.6,0.7,4,Consider as Option
Virgin Plastic (PP),73.5,0.8,2.1,4.15,16.0,10,Avoid
Bioplastic (PLA),60.2,5.3,87.4,2.08,56.2,9,Highly Recommended
Bagasse (Sugarcane),37.9,9.1,98.2,0.92,65.4,5,Highly Recommended
Bioplastic (PLA),67.8,6.4,86.6,2.48,54.3,8,Consider as Option
Bagasse (Sugarcane),27.7,7.5,97.8,0.98,59.4,7,Highly Recommended
Recycled Cardboard,19.9,1.5,92.6,0.93,84.3,3,Highly Recommended
Bamboo Fiber,49.8,9.3,98.2,0.55,34.7,7,Highly Recommended
Aluminum Foil,29.8,5.3,0.0,8.27,93.5,10,Avoid
Bamboo Fiber,55.7,8.5,97.8,0.82,46.4,6,Highly Recommended
Bamboo Fiber,42.8,7.0,97.9,1.18,45.1,8,Highly Recommended
Virgin Plastic (PP),72.4,9.0,1.2,4.2,10.2,10,Avoid
Bagasse (Sugarcane),37.6,1.3,98.8,0.94,64.6,7,Highly Recommended
Bamboo Fiber,42.8,8.9,97.8,1.17,37.8,8,Highly Recommended
Bagasse (Sugarcane),23.4,3.5,96.2,0.91,69.2,6,Highly Recommended
Recycled Cardboard,18.9,3.2,99.0,0.84,82.7,3,Highly Recommended
Mushroom Mycelium,10.3,0.9,100.0,0.28,100.0,6,Highly Recommended
Mushroom Mycelium,18.8,0.7,100.0,0.23,100.0,4,Highly Recommended
Bamboo Fiber,50.1,1.9,98.0,1.07,37.3,6,Highly Recommended
Bagasse (Sugarcane),30.5,3.2,95.8,1.18,63.7,6,Highly Recommended
Aluminum Foil,39.0,4.0,0.0,8.88,92.2,10,Avoid
Bagasse (Sugarcane),30.9,3.6,99.8,1.11,64.5,7,Highly Recommended
Aluminum Foil,20.6,6.0,0.0,10.42,98.5,10,Avoid
Mushroom Mycelium,16.1,7.4,100.0,0.14,100.0,6,Highly Recommended
Bioplastic (PLA),71.0,8.1,81.6,2.17,58.6,8,Consider as Option
Virgin Plastic (PP),60.8,3.7,2.5,5.68,21.3,10,Avoid
Bagasse (Sugarcane),38.6,5.8,97.1,1.07,59.8,7,Highly Recommended
Bamboo Fiber,49.2,9.0,96.2,0.89,42.2,6,Highly Recommended
Aluminum Foil,42.7,0.7,0.0,11.61,91.3,10,Avoid
Bamboo Fiber,42.0,6.0,97.9,0.91,30.5,7,Highly Recommended
Bamboo Fiber,50.8,4.4,97.0,0.79,35.6,7,Highly Recommended
Edible Seaweed Film,9.3,2.1,100.0,0.5,5.4,4,Consider as Option
Bamboo Fiber,56.2,6.4,98.9,0.56,42.5,8,Highly Recommended
Mushroom Mycelium,24.5,1.4,100.0,0.26,100.0,6,Highly Recommended
Aluminum Foil,27.0,4.2,0.0,11.8,92.2,10,Avoid
Bagasse (Sugarcane),25.6,8.0,97.3,0.91,63.2,7,Highly Recommended
Virgin Plastic (PP),68.4,1.3,4.6,4.58,24.6,10,Avoid
Virgin Plastic (PP),64.8,1.3,3.7,5.62,18.5,10,Avoid
Edible Seaweed Film,14.4,9.2,100.0,0.6,1.0,3,Consider as Option
Bioplastic (PLA),65.9,2.8,83.8,2.49,59.1,8,Consider as Option
Mushroom Mycelium,24.5,1.4,100.0,0.26,100.0,6,Highly Recommended
Bamboo Fiber,52.8,5.6,95.8,0.71,33.1,8,Highly Recommended
Aluminum Foil,28.4,2.2,0.0,9.89,91.8,10,Avoid
Bioplastic (PLA),56.0,0.5,92.2,2.28,41.7,9,Highly Recommended
Recycled Cardboard,28.3,1.9,93.5,1.27,85.7,3,Highly Recommended
Bioplastic (PLA),65.1,3.6,89.0,1.55,55.7,9,Highly Recommended
Virgin Plastic (PP),74.9,8.6,0.7,3.8,24.6,10,Avoid
Bioplastic (PLA),53.6,6.1,82.4,2.48,55.9,8,Consider as Option
Recycled Cardboard,33.6,7.8,94.1,1.28,91.7,5,Highly Recommended
Mushroom Mycelium,18.8,5.8,100.0,0.14,100.0,4,Highly Recommended
Recycled Cardboard,19.5,7.0,93.4,1.36,98.2,3,Highly Recommended
Aluminum Foil,27.6,8.1,0.0,9.49,97.7,10,Avoid
Bioplastic (PLA),57.8,7.1,89.6,1.75,54.3,8,Highly Recommended
Edible Seaweed Film,8.5,6.8,100.0,0.25,7.4,2,Consider as Option
Edible Seaweed Film,5.8,2.5,100.0,0.37,6.1,3,Consider as Option
Mushroom Mycelium,24.8,5.0,100.0,0.14,100.0,6,Highly Recommended
Aluminum Foil,37.7,1.3,0.0,8.72,95.2,10,Avoid
Bamboo Fiber,55.7,1.3,98.1,1.14,42.5,6,Highly Recommended
Mushroom Mycelium,22.4,1.2,100.0,0.16,100.0,4,Highly Recommended
Bamboo Fiber,53.6,9.3,95.7,0.8,31.5,7,Highly Recommended
Mushroom Mycelium,23.1,6.2,100.0,0.21,100.0,4,Highly Recommended
Mushroom Mycelium,15.1,8.6,100.0,0.12,100.0,4,Highly Recommended
Mushroom Mycelium,13.3,7.1,100.0,0.11,100.0,4,Highly Recommended
Bioplastic (PLA),68.7,4.2,90.1,2.0,55.1,9,Highly Recommended
Aluminum Foil,21.7,4.2,0.0,10.31,93.0,10,Avoid
Bioplastic (PLA),63.1,5.7,87.5,1.84,53.4,8,Highly Recommended
Bioplastic (PLA),51.0,0.9,91.4,1.62,54.4,8,Highly Recommended
Aluminum Foil,38.1,1.7,0.0,9.97,96.6,10,Avoid
Mushroom Mycelium,21.3,2.5,100.0,0.28,100.0,4,Highly Recommended
Aluminum Foil,43.3,0.9,0.0,11.61,96.9,10,Avoid
Bagasse (Sugarcane),35.1,2.4,96.2,0.92,62.6,6,Highly Recommended
Bagasse (Sugarcane),35.7,2.4,97.1,1.08,60.9,6,Highly Recommended
Mushroom Mycelium,22.6,9.3,100.0,0.27,100.0,4,Highly Recommended
Virgin Plastic (PP),67.2,0.8,1.8,5.31,11.8,10,Avoid
Aluminum Foil,32.9,7.1,0.0,11.02,98.9,10,Avoid
Bagasse (Sugarcane),28.3,6.4,95.0,0.94,62.4,5,Highly Recommended
Aluminum Foil,26.9,7.7,0.0,8.75,93.0,10,Avoid
Edible Seaweed Film,10.1,0.6,100.0,0.3,2.0,4,Consider as Option
Recycled Cardboard,21.6,6.5,94.0,1.28,91.9,4,Highly Recommended
Bioplastic (PLA),67.2,5.5,91.3,2.02,47.0,8,Highly Recommended
Aluminum Foil,42.2,8.8,0.0,9.15,94.6,10,Avoid
Bioplastic (PLA),69.8,4.3,93.2,1.77,49.3,9,Highly Recommended
Bioplastic (PLA),65.2,1.9,87.1,2.34,59.9,8,Highly Recommended
Aluminum Foil,42.4,6.5,0.0,10.94,95.8,10,Avoid
Aluminum Foil,39.8,3.1,0.0,8.34,95.4,10,Avoid
Bagasse (Sugarcane),22.6,3.0,98.5,1.11,68.6,7,Highly Recommended
Virgin Plastic (PP),86.6,9.3,0.1,4.12,16.6,10,Avoid
Virgin Plastic (PP),76.1,3.2,2.7,5.08,25.5,10,Avoid
Recycled Cardboard,20.0,3.9,95.2,1.08,84.4,4,Highly Recommended
Mushroom Mycelium,14.3,2.2,100.0,0.14,100.0,4,Highly Recommended
Edible Seaweed Film,9.9,8.4,100.0,0.33,0.3,4,Consider as Option
Mushroom Mycelium,11.9,9.6,100.0,0.39,100.0,6,Highly Recommended
Edible Seaweed Film,6.1,0.9,100.0,0.45,6.9,3,Consider as Option
Mushroom Mycelium,15.7,3.2,100.0,0.27,100.0,6,Highly Recommended
Edible Seaweed Film,7.3,3.0,100.0,0.52,3.1,4,Consider as Option
Virgin Plastic (PP),61.7,9.9,1.0,3.7,24.4,10,Avoid
Bagasse (Sugarcane),37.1,8.6,96.3,1.11,54.2,5,Highly Recommended
Bioplastic (PLA),65.2,9.0,84.1,1.85,47.9,8,Consider as Option
Aluminum Foil,22.8,6.5,0.0,9.02,95.7,10,Avoid
Bioplastic (PLA),62.6,9.9,83.2,2.16,55.2,8,Consider as Option
Bamboo Fiber,54.0,10.0,95.8,1.01,44.6,6,Highly Recommended
Recycled Cardboard,28.8,3.3,92.5,0.89,86.2,3,Highly Recommended
Virgin Plastic (PP),84.9,3.5,4.3,4.21,10.9,10,Avoid
Recycled Cardboard,31.8,8.7,96.0,0.85,96.9,4,Highly Recommended
Mushroom Mycelium,14.5,2.3,100.0,0.15,100.0,6,Highly Recommended
Aluminum Foil,23.4,9.4,0.0,10.47,97.3,10,Avoid
Virgin Plastic (PP),80.2,8.4,0.5,4.84,28.6,10,Avoid
Bagasse (Sugarcane),35.9,9.4,97.3,1.08,50.8,5,Highly Recommended
Recycled Cardboard,32.8,8.2,99.9,1.1,85.3,3,Highly Recommended
Virgin Plastic (PP),62.6,8.9,3.5,4.82,25.5,10,Avoid
Recycled Cardboard,31.4,1.6,95.8,1.45,90.9,4,Highly Recommended
Aluminum Foil,39.8,6.0,0.0,10.04,90.2,10,Avoid
Virgin Plastic (PP),72.9,8.3,1.4,5.86,16.6,10,Avoid
Bamboo Fiber,50.4,7.0,96.4,1.17,32.9,8,Highly Recommended
Bagasse (Sugarcane),36.6,3.4,98.6,1.06,56.5,6,Highly Recommended
Bamboo Fiber,59.6,1.4,97.3,0.78,32.7,6,Highly Recommended
Bamboo Fiber,52.6,5.1,95.2,0.81,46.3,6,Highly Recommended
Mushroom Mycelium,13.0,3.3,100.0,0.12,100.0,5,Highly Recommended
Virgin Plastic (PP),64.0,6.3,0.6,4.49,18.6,10,Avoid
Edible Seaweed Film,9.5,5.6,100.0,0.39,5.9,4,Consider as Option
Recycled Cardboard,17.1,1.9,99.8,0.98,94.3,5,Highly Recommended
Bamboo Fiber,50.7,9.7,97.9,0.93,43.0,8,Highly Recommended
Recycled Cardboard,28.6,6.9,92.7,1.21,83.2,3,Highly Recommended
Aluminum Foil,30.0,2.1,0.0,10.78,94.1,10,Avoid
Recycled Cardboard,33.0,9.4,96.8,1.3,89.0,4,Highly Recommended
Edible Seaweed Film,6.1,6.0,100.0,0.27,1.9,3,Consider as Option
Bioplastic (PLA),67.0,3.5,88.7,2.5,44.5,9,Consider as Option
Recycled Cardboard,22.8,8.3,98.9,1.33,85.4,5,Highly Recommended
Bagasse (Sugarcane),33.6,5.3,97.4,1.31,50.8,7,Highly Recommended
Aluminum Foil,38.1,8.6,0.0,11.91,95.8,10,Avoid
Virgin Plastic (PP),75.6,5.5,3.8,3.64,28.8,10,Avoid
Bamboo Fiber,59.1,8.0,97.8,0.88,41.4,6,Highly Recommended
Edible Seaweed Film,13.6,8.0,100.0,0.4,5.4,4,Consider as Option
Bioplastic (PLA),69.4,4.5,90.4,2.32,58.2,9,Highly Recommended
Bamboo Fiber,50.8,9.4,95.2,0.62,40.5,6,Highly Recommended
Bamboo Fiber,44.1,10.0,98.5,0.99,38.5,6,Highly Recommended
Bagasse (Sugarcane),28.7,8.7,95.8,1.02,50.7,5,Highly Recommended
Virgin Plastic (PP),82.4,3.4,4.2,4.22,29.1,10,Avoid
Aluminum Foil,30.7,1.8,0.0,10.96,97.6,10,Avoid
Edible Seaweed Film,7.4,2.9,100.0,0.55,0.4,3,Consider as Option
Bioplastic (PLA),51.0,5.3,90.1,2.17,48.3,8,Highly Recommended
Aluminum Foil,37.2,1.9,0.0,8.84,98.5,10,Avoid
Mushroom Mycelium,11.4,3.4,100.0,0.26,100.0,6,Highly Recommended
Bagasse (Sugarcane),23.5,2.2,98.9,1.28,51.2,7,Highly Recommended
Mushroom Mycelium,13.1,3.5,100.0,0.22,100.0,6,Highly Recommended
Edible Seaweed Film,11.8,1.6,100.0,0.38,1.9,3,Consider as Option
Mushroom Mycelium,21.4,2.6,100.0,0.12,100.0,6,Highly Recommended
Bioplastic (PLA),66.0,2.1,92.5,2.1,50.5,9,Highly Recommended
Mushroom Mycelium,13.5,2.8,100.0,0.25,100.0,4,Highly Recommended
Virgin Plastic (PP),86.3,7.3,4.6,5.09,28.4,10,Avoid
Mushroom Mycelium,10.6,1.6,100.0,0.33,100.0,4,Highly Recommended
Mushroom Mycelium,24.5,3.4,100.0,0.26,100.0,5,Highly Recommended
Bagasse (Sugarcane),33.1,7.3,96.7,0.9,69.0,5,Highly Recommended
Aluminum Foil,32.0,8.9,0.0,8.2,99.4,10,Avoid
Aluminum Foil,32.4,9.1,0.0,10.19,99.9,10,Avoid
Mushroom Mycelium,14.9,2.8,100.0,0.38,100.0,5,Highly Recommended
Mushroom Mycelium,10.5,8.3,100.0,0.37,100.0,6,Highly Recommended
Virgin Plastic (PP),76.5,3.3,2.0,4.68,25.9,10,Avoid
Virgin Plastic (PP),75.8,0.5,2.4,4.04,27.5,10,Avoid
Recycled Cardboard,28.9,2.8,99.4,1.25,81.5,5,Highly Recommended
Mushroom Mycelium,16.9,4.3,100.0,0.19,100.0,5,Highly Recommended
Edible Seaweed Film,12.4,4.2,100.0,0.33,3.5,2,Consider as Option
Edible Seaweed Film,14.2,2.4,100.0,0.26,0.2,4,Consider as Option
Virgin Plastic (PP),73.3,3.3,4.4,5.24,20.5,10,Avoid
Bagasse (Sugarcane),29.0,8.2,96.3,1.12,57.3,7,Highly Recommended
Aluminum Foil,24.2,9.6,0.0,8.8,94.7,10,Avoid
Bamboo Fiber,56.6,4.9,97.1,1.18,33.6,8,Highly Recommended
Virgin Plastic (PP),86.6,9.3,0.1,4.12,16.6,10,Avoid
Bioplastic (PLA),62.8,3.6,93.5,2.23,43.3,8,Highly Recommended
Virgin Plastic (PP),87.0,5.8,4.2,5.28,10.5,10,Avoid
Mushroom Mycelium,21.4,4.2,100.0,0.31,100.0,4,Highly Recommended
Bamboo Fiber,41.8,3.8,98.3,1.01,48.9,6,Highly Recommended
Edible Seaweed Film,13.7,6.1,100.0,0.23,0.4,4,Consider as Option
Bamboo Fiber,43.7,4.5,95.9,1.18,30.0,7,Highly Recommended
Edible Seaweed Film,12.9,0.5,100.0,0.52,3.3,4,Consider as Option
Bagasse (Sugarcane),29.0,8.2,96.3,1.12,57.3,7,Highly Recommended
Bamboo Fiber,43.6,6.2,96.4,1.13,37.2,7,Highly Recommended
Aluminum Foil,43.1,8.6,0.0,11.68,96.4,10,Avoid
Bioplastic (PLA),56.3,4.0,87.9,2.38,49.9,8,Consider as Option
Aluminum Foil,42.1,0.6,0.0,9.24,90.2,10,Avoid
Edible Seaweed Film,11.0,4.7,100.0,0.22,8.9,4,Consider as Option
Recycled Cardboard,27.3,9.2,91.5,1.25,92.7,4,Highly Recommended
Virgin Plastic (PP),66.1,8.5,0.5,4.46,22.8,10,Avoid
Virgin Plastic (PP),77.5,0.9,4.8,5.36,28.1,10,Avoid
Recycled Cardboard,20.5,9.2,98.3,0.97,93.4,5,Highly Recommended
Recycled Cardboard,26.5,4.8,97.6,0.91,93.9,5,Highly Recommended
Bamboo Fiber,45.5,4.1,97.0,0.67,33.0,6,Highly Recommended
Bagasse (Sugarcane),24.9,7.4,97.5,1.18,59.5,7,Highly Recommended
Edible Seaweed Film,13.0,4.9,100.0,0.47,9.9,4,Consider as Option
Bagasse (Sugarcane),24.1,2.6,95.3,1.27,53.4,7,Highly Recommended
Bioplastic (PLA),60.7,1.0,93.1,2.06,53.7,8,Highly Recommended
Virgin Plastic (PP),77.4,2.0,2.1,3.51,21.7,10,Avoid
Aluminum Foil,44.4,2.5,0.0,8.96,90.1,10,Avoid
Aluminum Foil,28.5,1.3,0.0,10.51,99.6,10,Avoid
Bamboo Fiber,44.3,1.5,99.5,0.64,46.3,8,Highly Recommended
Edible Seaweed Film,12.0,6.2,100.0,0.23,2.7,2,Consider as Option
Bioplastic (PLA),64.2,9.0,82.2,2.42,53.8,9,Consider as Option
Recycled Cardboard,18.5,8.3,91.0,1.0,94.1,5,Highly Recommended
Bamboo Fiber,53.4,6.4,99.0,0.81,43.5,8,Highly Recommended
Virgin Plastic (PP),82.4,6.5,0.9,4.64,16.6,10,Avoid
Bamboo Fiber,46.8,9.8,99.3,0.5,35.2,7,Highly Recommended
Edible Seaweed Film,7.4,2.9,100.0,0.55,0.4,3,Consider as Option
Mushroom Mycelium,12.9,6.9,100.0,0.2,100.0,6,Highly Recommended
Mushroom Mycelium,21.1,3.6,100.0,0.16,100.0,5,Highly Recommended
Edible Seaweed Film,11.2,6.7,100.0,0.25,2.9,2,Consider as Option
Recycled Cardboard,25.2,1.3,93.2,1.42,88.1,5,Highly Recommended
Aluminum Foil,35.2,8.9,0.0,8.26,92.7,10,Avoid
Bamboo Fiber,41.3,9.2,99.8,1.2,44.3,7,Highly Recommended
Virgin Plastic (PP),70.0,9.9,4.4,4.05,12.2,10,Avoid
Bioplastic (PLA),51.7,0.6,93.2,1.88,49.7,8,Highly Recommended
Bamboo Fiber,49.5,1.2,98.3,1.02,33.9,7,Highly Recommended
Bioplastic (PLA),74.0,8.4,87.4,1.68,54.0,8,Highly Recommended
Virgin Plastic (PP),74.6,2.6,0.9,3.51,18.6,10,Avoid
Edible Seaweed Film,7.2,5.0,100.0,0.6,9.3,4,Consider as Option
Mushroom Mycelium,16.7,8.9,100.0,0.34,100.0,6,Highly Recommended
Aluminum Foil,32.3,5.7,0.0,10.24,99.1,10,Avoid
Edible Seaweed Film,6.2,6.9,100.0,0.5,2.2,4,Consider as Option
Bioplastic (PLA),65.2,9.0,84.1,1.85,47.9,8,Consider as Option
Recycled Cardboard,18.1,2.6,90.7,1.42,82.9,4,Highly Recommended
Aluminum Foil,25.3,3.8,0.0,9.41,96.6,10,Avoid
Bagasse (Sugarcane),21.8,4.6,96.4,1.15,67.4,7,Highly Recommended
Bagasse (Sugarcane),22.5,8.4,97.7,1.02,53.9,6,Highly Recommended
Aluminum Foil,35.0,2.4,0.0,10.83,91.8,10,Avoid
Aluminum Foil,36.3,5.8,0.0,11.88,95.2,10,Avoid
Bagasse (Sugarcane),23.6,4.2,97.4,1.1,51.6,5,Highly Recommended
Edible Seaweed Film,13.8,3.9,100.0,0.58,2.9,3,Consider as Option
Bamboo Fiber,59.4,9.1,97.5,0.81,44.0,7,Highly Recommended
Virgin Plastic (PP),67.6,7.7,2.8,5.66,28.3,10,Avoid
Bamboo Fiber,53.2,3.2,95.9,0.55,35.0,7,Highly Recommended
Bamboo Fiber,52.3,7.9,98.6,0.86,38.3,6,Highly Recommended
Bagasse (Sugarcane),32.5,8.3,97.6,0.96,62.6,6,Highly Recommended
Bamboo Fiber,42.4,0.7,99.0,0.58,33.9,7,Highly Recommended
Virgin Plastic (PP),61.9,8.2,0.1,4.31,21.7,10,Avoid
Aluminum Foil,21.4,2.5,0.0,11.1,99.6,10,Avoid
Bioplastic (PLA),72.8,3.3,91.3,2.31,56.9,9,Highly Recommended
Recycled Cardboard,26.6,7.6,93.5,1.25,96.0,3,Highly Recommended
Virgin Plastic (PP),68.6,8.5,0.4,4.6,26.5,10,Avoid
Aluminum Foil,37.7,1.3,0.0,8.72,95.2,10,Avoid
Aluminum Foil,21.6,2.1,0.0,11.76,91.1,10,Avoid
Bamboo Fiber,58.2,2.4,95.7,0.98,49.8,7,Highly Recommended
Aluminum Foil,40.1,4.7,0.0,8.9,94.5,10,Avoid
Recycled Cardboard,30.3,7.6,98.4,1.04,86.8,5,Highly Recommended
Virgin Plastic (PP),69.6,5.7,1.8,5.21,14.6,10,Avoid
Bamboo Fiber,57.3,4.5,96.5,0.73,48.2,7,Highly Recommended
Edible Seaweed Film,8.5,1.2,100.0,0.44,2.1,4,Consider as Option
Aluminum Foil,26.9,4.6,0.0,10.8,93.2,10,Avoid
Bioplastic (PLA),71.3,4.7,86.4,1.72,51.5,8,Highly Recommended
Virgin Plastic (PP),83.8,7.5,0.5,5.39,14.0,10,Avoid
Virgin Plastic (PP),88.2,4.0,1.0,5.48,21.2,10,Avoid
Virgin Plastic (PP),73.0,6.5,4.1,5.42,10.5,10,Avoid
Recycled Cardboard,29.8,8.6,94.9,1.3,97.7,5,Highly Recommended
Aluminum Foil,39.4,1.6,0.0,11.69,90.3,10,Avoid
Recycled Cardboard,21.8,1.5,93.5,0.88,90.5,3,Highly Recommended
Bamboo Fiber,57.6,1.6,99.8,0.74,32.0,8,Highly Recommended
Recycled Cardboard,16.8,3.5,97.0,1.41,87.5,5,Highly Recommended
Bagasse (Sugarcane),23.0,9.7,98.5,1.24,66.0,6,Highly Recommended
Virgin Plastic (PP),89.1,8.1,0.3,4.07,29.9,10,Avoid
Bamboo Fiber,54.6,3.4,95.2,0.63,33.6,6,Highly Recommended
Bagasse (Sugarcane),36.9,4.3,99.3,1.36,55.6,5,Highly Recommended
Bagasse (Sugarcane),21.8,7.3,95.6,1.37,52.0,6,Highly Recommended
Mushroom Mycelium,15.3,8.3,100.0,0.13,100.0,4,Highly Recommended
Edible Seaweed Film,14.3,9.0,100.0,0.3,5.7,4,Consider as Option
Virgin Plastic (PP),60.7,5.8,0.2,4.87,15.7,10,Avoid
Aluminum Foil,29.7,6.4,0.0,10.3,90.1,10,Avoid
Mushroom Mycelium,10.8,4.0,100.0,0.3,100.0,5,Highly Recommended
Virgin Plastic (PP),65.3,2.2,2.0,3.52,23.1,10,Avoid
Aluminum Foil,21.1,2.9,0.0,10.69,99.5,10,Avoid
Recycled Cardboard,24.2,5.3,95.3,1.09,82.9,5,Highly Recommended
Bamboo Fiber,57.1,0.8,100.0,0.9,39.8,6,Highly Recommended
Virgin Plastic (PP),72.9,1.4,4.0,5.17,23.4,10,Avoid
Edible Seaweed Film,10.9,4.4,100.0,0.22,3.8,2,Consider as Option
Mushroom Mycelium,23.0,8.8,100.0,0.17,100.0,4,Highly Recommended
Aluminum Foil,43.4,5.2,0.0,10.5,90.5,10,Avoid
Recycled Cardboard,32.8,4.9,96.5,0.87,92.9,3,Highly Recommended
Edible Seaweed Film,14.3,4.7,100.0,0.39,8.2,2,Consider as Option
Edible Seaweed Film,7.2,5.0,100.0,0.6,9.3,4,Consider as Option
Edible Seaweed Film,10.1,9.3,100.0,0.58,0.1,3,Consider as Option
Edible Seaweed Film,10.8,8.1,100.0,0.4,2.7,3,Consider as Option
Virgin Plastic (PP),69.3,5.3,1.4,5.5,14.7,10,Avoid
Bamboo Fiber,41.0,8.0,96.0,1.09,42.2,6,Highly Recommended
Edible Seaweed Film,7.4,9.9,100.0,0.3,1.7,2,Consider as Option
Bioplastic (PLA),57.5,4.9,83.7,1.61,53.8,9,Highly Recommended
Mushroom Mycelium,13.1,4.9,100.0,0.36,100.0,4,Highly Recommended
